sID;Address;WorkTime
1;м.Дніпропетровськ, вул. Поля, 1, (2-й поверх, віконце 1, 2 чи 3); Понеділок, Вівторок, Четвер, П’ятниця з 9:00 до 12:45 та з 14:00 до 16:30<br />(перерва з  13:00 до 14:00)<br /> Середа, Субота та Неділя - вихідні <br />
2;м.Дніпропетровськ, пр. Ілліча, 3, каб. № 5; Понеділок, Вівторок, Четвер, П’ятниця з 9:00 до 12:45 та з 14:00 до 16:30<br />(перерва з  13:00 до 14:00)<br /> Середа, Субота та Неділя - вихідні <br />
3;м.Дніпропетровськ, вул. Аверіна, 57, каб. № 8; Понеділок, Вівторок, Четвер, П’ятниця з 9:00 до 12:45 та з 14:00 до 16:30<br />(перерва з  13:00 до 14:00)<br /> Середа, Субота та Неділя - вихідні <br />
4;м.Дніпропетровськ, вул. Красна площа, 2-А; Понеділок, Вівторок, Четвер, П’ятниця з 9:00 до 12:45 та з 14:00 до 16:30<br />(перерва з  13:00 до 14:00)<br /> Середа, Субота та Неділя - вихідні <br />
5;м.Кривий Ріг, вул. Жовтнева, 12-В, каб. 1, 2, 3; Понеділок, Вівторок, Четвер, П’ятниця з 9:00 до 12:45 та з 14:00 до 16:30<br />(перерва з  13:00 до 14:00)<br /> Середа, Субота та Неділя - вихідні <br />
6;м.Дніпродзержинськ, вул. Комунарна, 10-А, каб. № 2; Понеділок, Вівторок, Четвер, П’ятниця з 9:00 до 12:45 та з 14:00 до 16:30<br />(перерва з  13:00 до 14:00)<br /> Середа, Субота та Неділя - вихідні <br />
7;м.Нікополь, вул. Микитинська, 5,  каб. № 9; Понеділок, Вівторок, Четвер, П’ятниця з 9:00 до 12:45 та з 14:00 до 16:30<br />(перерва з  13:00 до 14:00)<br /> Середа, Субота та Неділя - вихідні <br />
8;м.Павлоград, вул. Повстання, 77-А, каб. № 4; Понеділок, Вівторок, Четвер, П’ятниця з 9:00 до 12:45 та з 14:00 до 16:30<br />(перерва з  13:00 до 14:00)<br /> Середа, Субота та Неділя - вихідні <br />
9;м.Дніпропетровськ, вул. Кожем’яки, 17; Понеділок, Вівторок, Четвер, П’ятниця з 9:00 до 12:45 та з 14:00 до 16:30<br />(перерва з  13:00 до 14:00)<br /> Середа, Субота та Неділя - вихідні <br />
10;м.Дніпропетровськ, вул. Шевченко, 7; Понеділок, Вівторок, Четвер, П’ятниця з 9:00 до 12:45 та з 14:00 до 16:30<br />(перерва з  13:00 до 14:00)<br /> Середа, Субота та Неділя - вихідні <br />
11;м.Дніпропетровськ, вул. Янтарна, 75а; Понеділок, Вівторок, Четвер, П’ятниця з 9:00 до 12:45 та з 14:00 до 16:30<br />(перерва з  13:00 до 14:00)<br /> Середа, Субота та Неділя - вихідні <br />
12;м.Дніпропетровськ, вул. Князя Володимира Великого (вул. Плеханова), 34; Понеділок, Вівторок, Четвер, П’ятниця з 9:00 до 12:45 та з 14:00 до 16:30<br />(перерва з  13:00 до 14:00)<br /> Середа, Субота та Неділя - вихідні <br />
13;м.Дніпропетровськ, вул. Робоча, 22а; Понеділок, Вівторок, Четвер, П’ятниця з 9:00 до 12:45 та з 14:00 до 16:30<br />(перерва з  13:00 до 14:00)<br /> Середа, Субота та Неділя - вихідні <br />
14;м.Дніпропетровськ, вул. Космонавтів, 4; Понеділок, Вівторок, Четвер, П’ятниця з 9:00 до 12:45 та з 14:00 до 16:30<br />(перерва з  13:00 до 14:00)<br /> Середа, Субота та Неділя - вихідні <br />
15;смт. Ювілейне, вул. Совхозна, 38; Понеділок, Вівторок, Четвер, П’ятниця з 9:00 до 12:45 та з 14:00 до 16:30<br />(перерва з  13:00 до 14:00)<br /> Середа, Субота та Неділя - вихідні <br />
16;Апостолове, вул. Покровська, 6; Понеділок, Вівторок, Четвер, П’ятниця з 9:00 до 12:45 та з 14:00 до 16:30<br />(перерва з  13:00 до 14:00)<br /> Середа, Субота та Неділя - вихідні <br />
17;Новомосковськ, вул. Шевченко, 39; Понеділок, Вівторок, Четвер, П’ятниця з 9:00 до 12:45 та з 14:00 до 16:30<br />(перерва з  13:00 до 14:00)<br /> Середа, Субота та Неділя - вихідні <br />
18;Першотравенськ, вул. Комсомольська, 55; Понеділок, Вівторок, Четвер, П’ятниця з 9:00 до 12:45 та з 14:00 до 16:30<br />(перерва з  13:00 до 14:00)<br /> Середа, Субота та Неділя - вихідні <br />
19;смт. Солоне, вул. Строменко, 1; Понеділок, Вівторок, Четвер, П’ятниця з 9:00 до 12:45 та з 14:00 до 16:30<br />(перерва з  13:00 до 14:00)<br /> Середа, Субота та Неділя - вихідні <br />
20;смт. Широке, вул. Леніна, 49а; Понеділок, Вівторок, Четвер, П’ятниця з 9:00 до 12:45 та з 14:00 до 16:30<br />(перерва з  13:00 до 14:00)<br /> Середа, Субота та Неділя - вихідні <br />
21;смт. Царичанка, вул. Нагорна, 9; Понеділок, Вівторок, Четвер, П’ятниця з 9:00 до 12:45 та з 14:00 до 16:30<br />(перерва з  13:00 до 14:00)<br /> Середа, Субота та Неділя - вихідні <br />
22;м.Кривий Ріг, пр. Металургів, 16; Понеділок, Вівторок, Четвер, П’ятниця з 9:00 до 12:45 та з 14:00 до 16:30<br />(перерва з  13:00 до 14:00)<br /> Середа, Субота та Неділя - вихідні <br />
23;м.Кривий Ріг, вул. Бородича, 3; Понеділок, Вівторок, Четвер, П’ятниця з 9:00 до 12:45 та з 14:00 до 16:30<br />(перерва з  13:00 до 14:00)<br /> Середа, Субота та Неділя - вихідні <br />
24;м.Кривий Ріг, вул. Шурупова, 7; Понеділок, Вівторок, Четвер, П’ятниця з 9:00 до 12:45 та з 14:00 до 16:30<br />(перерва з  13:00 до 14:00)<br /> Середа, Субота та Неділя - вихідні <br />
25;м.Кривий Ріг, вул. Мелешкіна, 47к; Понеділок, Вівторок, Четвер, П’ятниця з 9:00 до 12:45 та з 14:00 до 16:30<br />(перерва з  13:00 до 14:00)<br /> Середа, Субота та Неділя - вихідні <br />
26;м.Житомир, вул. Пушкінська, 44; Понеділок, Вівторок, Четвер, П’ятниця з 9:00 до 12:45 та з 14:00 до 16:30<br />(перерва з  13:00 до 14:00)<br /> Середа, Субота та Неділя - вихідні <br />
